Channel_Metadata_ID,Antibody_Name,Channel_Name,Marker_Name
syn52965897,"['Anti-Mucin 5AC antibody' 'Anti-CD14' 'Anti-CD163' 'Anti-Cd11b'
 'Anti-Cytokeratin5' 'Anti-CEA' 'Anti-CD4' 'Anti-E-Cadherin' 'Anti-CD68'
 'Anti-CD20' 'Anti-CD8alpha' 'Anti-GranzymeB' 'Anti-Ki-&67'
 'Anti-collagen I' 'Anti-CD3' 'Anti-HLA-DR I' 'Intercalator'
 'Intercalator']","['MUC5AC' 'CD14' 'CD163' 'CD11b' 'KRT5' 'CEACAM5' 'CD4' 'E-Cad' 'CD68'
 'CD20' 'CD8' 'GZMB' 'Ki-67' 'col1' 'CD3' 'HLA-DR' 'DNA1' 'DNA2']",[]
syn28564689,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564290,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564418,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564177,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564183,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564648,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564474,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564595,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
syn28564713,[],"['CD45RA' 'PD-L2' 'SMA' 'Vimentin' 'CD163' 'Pan Keratin' 'CD11b' 'PD-L1'
 'CD31' 'CD45' 'Lag3' 'CD11c' 'FOXP3' 'CD4' 'Ecadherin' 'CD68' 'CD20'
 'CD8' 'PD-1' 'Granzyme B' 'Ki-67' 'T1 Collagen' 'CD3' 'CD45RO' 'HLA-DR'
 'Histone H3' 'DNA' 'DNA']",[]
