Source ID,Original Antigens,LLM Harmonized Antigens,Original Antigen Count,Harmonized Antigen Count
syn52965897,"['Antibody: Anti-E-Cadherin, Channel: E-Cad, Marker: ', 'Antibody: Anti-Cd11b, Channel: CD11b, Marker: ', 'Antibody: Anti-CD163, Channel: CD163, Marker: ', 'Antibody: Anti-CD4, Channel: CD4, Marker: ', 'Antibody: Anti-CD68, Channel: CD68, Marker: ', 'Antibody: Anti-GranzymeB, Channel: GZMB, Marker: ', 'Antibody: Anti-Ki-&67, Channel: Ki-67, Marker: ', 'Antibody: Anti-collagen I, Channel: col1, Marker: ', 'Antibody: Anti-CD3, Channel: CD3, Marker: ', 'Antibody: Anti-HLA-DR I, Channel: HLA-DR, Marker: ', 'Antibody: Anti-CEA, Channel: CEACAM5, Marker: ', 'Antibody: Intercalator, Channel: DNA1, Marker: ', 'Antibody: Anti-CD8alpha, Channel: CD8, Marker: ', 'Antibody: Intercalator, Channel: DNA2, Marker: ', 'Antibody: Anti-CD20, Channel: CD20, Marker: ', 'Antibody: Anti-Cytokeratin5, Channel: KRT5, Marker: ', 'Antibody: Anti-CD14, Channel: CD14, Marker: ', 'Antibody: Anti-Mucin 5AC antibody, Channel: MUC5AC, Marker: ']","['CD3', 'HLA-DR', 'CD4', 'CD68', 'KRT5', 'MUC5AC', 'GZMB', 'COL1', 'Nuclear', 'Ki-67', 'CD20', 'CD14', 'CD11b', 'CD163', 'CD8alpha', 'E-Cadherin', 'CEACAM5']",18,17
syn28564689,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564290,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564418,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564177,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564183,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564648,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564474,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564595,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
syn28564713,"['Antibody: , Channel: Pan Keratin, Marker: ', 'Antibody: , Channel: CD4, Marker: ', 'Antibody: , Channel: CD20, Marker: ', 'Antibody: , Channel: PD-1, Marker: ', 'Antibody: , Channel: HLA-DR, Marker: ', 'Antibody: , Channel: PD-L2, Marker: ', 'Antibody: , Channel: CD163, Marker: ', 'Antibody: , Channel: SMA, Marker: ', 'Antibody: , Channel: CD68, Marker: ', 'Antibody: , Channel: Vimentin, Marker: ', 'Antibody: , Channel: CD11c, Marker: ', 'Antibody: , Channel: Histone H3, Marker: ', 'Antibody: , Channel: CD3, Marker: ', 'Antibody: , Channel: CD45, Marker: ', 'Antibody: , Channel: Ecadherin, Marker: ', 'Antibody: , Channel: T1 Collagen, Marker: ', 'Antibody: , Channel: CD45RO, Marker: ', 'Antibody: , Channel: FOXP3, Marker: ', 'Antibody: , Channel: Ki-67, Marker: ', 'Antibody: , Channel: CD45RA, Marker: ', 'Antibody: , Channel: CD31, Marker: ', 'Antibody: , Channel: PD-L1, Marker: ', 'Antibody: , Channel: CD8, Marker: ', 'Antibody: , Channel: DNA, Marker: ', 'Antibody: , Channel: CD11b, Marker: ', 'Antibody: , Channel: Lag3, Marker: ', 'Antibody: , Channel: Granzyme B, Marker: ']","['CD3', 'HLA-DR', 'CD45RO', 'Ecadherin', 'PD-L1', 'Pan-Cytokeratin', 'Granzyme B', 'SMA', 'CD11c', 'CD45RA', 'Histone H3', 'CD68', 'PD-1', 'PD-L2', 'Collagen', 'Ki-67', 'CD163', 'CD8', 'CD11b', 'VIM', 'CD31', 'CD4', 'CD20', 'FOXP3', 'Nuclear', 'CD45', 'Lag3']",27,27
